"","study","stim","qlabel","ICC.t_unknown","ICC.p_unknown"
"1",1,"followers","actimag",0.05,0.136
"2",1,"followers","age",0.476,0.102
"3",1,"followers","agr",0.102,0.136
"4",1,"followers","arrogant",0.164,0.162
"5",1,"followers","assertive",0.091,0.089
"6",1,"followers","attractive",0.134,0.145
"7",1,"followers","centerattn",0.231,0.124
"8",1,"followers","cold",0.039,0.263
"9",1,"followers","cold_r",0.039,0.263
"10",1,"followers","con",0.113,0.181
"11",1,"followers","ext",0.151,0.203
"12",1,"followers","fewartint",0.01,0.156
"13",1,"followers","fewartint_r",0.01,0.156
"14",1,"followers","funny",0.058,0.142
"15",1,"followers","ilike",0.048,0.212
"16",1,"followers","impulsive",0.126,0.089
"17",1,"followers","intelligent",0.125,0.226
"18",1,"followers","lazy",0.073,0.15
"19",1,"followers","lazy_r",0.073,0.15
"20",1,"followers","nervous",0.093,0.097
"21",1,"followers","neu",0.074,0.156
"22",1,"followers","ope",0.044,0.137
"23",1,"followers","outgoing",0.187,0.144
"24",1,"followers","race",0.637,0.04
"25",1,"followers","relaxed",0.049,0.164
"26",1,"followers","relaxed_r",0.049,0.164
"27",1,"followers","reserved",0.179,0.078
"28",1,"followers","reserved_r",0.179,0.078
"29",1,"followers","selfesteem",0.125,0.134
"30",1,"followers","ses",0.15,0.278
"31",1,"followers","sex",0.19,0.005
"32",1,"followers","thorough",0.115,0.173
"33",1,"followers","trusting",0.045,0.186
"34",1,"followers","trustworthy",0.107,0.172
"35",1,"friends","actimag",0.096,0.141
"36",1,"friends","age",0.428,0.093
"37",1,"friends","agr",0.165,0.135
"38",1,"friends","arrogant",0.151,0.13
"39",1,"friends","assertive",0.074,0.095
"40",1,"friends","attractive",0.104,0.177
"41",1,"friends","centerattn",0.202,0.088
"42",1,"friends","cold",0.066,0.133
"43",1,"friends","cold_r",0.066,0.133
"44",1,"friends","con",0.21,0.114
"45",1,"friends","ext",0.13,0.146
"46",1,"friends","fewartint",0.106,0.179
"47",1,"friends","fewartint_r",0.106,0.179
"48",1,"friends","funny",0.043,0.142
"49",1,"friends","ilike",0.056,0.266
"50",1,"friends","impulsive",0.156,0.089
"51",1,"friends","intelligent",0.189,0.142
"52",1,"friends","lazy",0.148,0.122
"53",1,"friends","lazy_r",0.148,0.122
"54",1,"friends","nervous",0.101,0.156
"55",1,"friends","neu",0.072,0.164
"56",1,"friends","ope",0.143,0.158
"57",1,"friends","outgoing",0.156,0.162
"58",1,"friends","race",0.673,0.019
"59",1,"friends","relaxed",0.03,0.128
"60",1,"friends","relaxed_r",0.03,0.128
"61",1,"friends","reserved",0.201,0.097
"62",1,"friends","reserved_r",0.201,0.097
"63",1,"friends","selfesteem",0.103,0.103
"64",1,"friends","ses",0.204,0.33
"65",1,"friends","sex",0.214,0
"66",1,"friends","thorough",0.191,0.081
"67",1,"friends","trusting",0.107,0.132
"68",1,"friends","trustworthy",0.074,0.161
"69",1,"profile","actimag",0.148,0.185
"70",1,"profile","age",0.664,0.072
"71",1,"profile","agr",0.1,0.122
"72",1,"profile","arrogant",0.262,0.087
"73",1,"profile","assertive",0.08,0.083
"74",1,"profile","attractive",0.225,0.181
"75",1,"profile","centerattn",0.232,0.102
"76",1,"profile","cold",0.167,0.154
"77",1,"profile","cold_r",0.167,0.154
"78",1,"profile","con",0.314,0.1
"79",1,"profile","ext",0.197,0.117
"80",1,"profile","fewartint",0.094,0.206
"81",1,"profile","fewartint_r",0.094,0.206
"82",1,"profile","funny",0.109,0.16
"83",1,"profile","ilike",0.219,0.148
"84",1,"profile","impulsive",0.22,0.126
"85",1,"profile","intelligent",0.283,0.143
"86",1,"profile","lazy",0.233,0.109
"87",1,"profile","lazy_r",0.233,0.109
"88",1,"profile","nervous",0.094,0.099
"89",1,"profile","neu",0.139,0.102
