study,stim,target_user,qlabel,targ_agg,s2m,targ_agg2
1,followers,2,actimag,3.4,0,3.4
1,followers,2,age,19.4,0,19.4
1,followers,2,agr,3.75,0,3.75
1,followers,2,arrogant,3.2,0,3.2
1,followers,2,assertive,3.3,0,3.3
1,followers,2,attractive,3.7,0,3.7
1,followers,2,centerattn,4.2,0,4.2
1,followers,2,cold,2.1,0,2.1
1,followers,2,cold_r,3.9,0,3.9
1,followers,2,con,2.7,0,2.7
1,followers,2,ext,4.05,0,4.05
1,followers,2,fewartint,3,0,3
1,followers,2,fewartint_r,3,0,3
1,followers,2,funny,3.2,0,3.2
1,followers,2,ilike,3,0,3
1,followers,2,impulsive,3.5,0,3.5
1,followers,2,intelligent,2.8,0,2.8
1,followers,2,lazy,3.1,0,3.1
1,followers,2,lazy_r,2.9,0,2.9
1,followers,2,nervous,2.7,0,2.7
1,followers,2,neu,2.85,0,2.85
1,followers,2,ope,3.2,0,3.2
1,followers,2,outgoing,4.2,0,4.2
1,followers,2,relaxed,3,0,3
1,followers,2,relaxed_r,3,0,3
1,followers,2,reserved,2,0,2
1,followers,2,reserved_r,4,0,4
1,followers,2,selfesteem,3.8,0,3.8
1,followers,2,ses,5.4,0,5.4
1,followers,2,thorough,2.5,0,2.5
1,followers,2,trusting,3.5,0,3.5
1,followers,2,trustworthy,3.2,0,3.2
1,followers,3,actimag,3.1,0,3.1
1,followers,3,age,25.6,0,25.6
1,followers,3,agr,3.5,0,3.5
1,followers,3,arrogant,2.9,0,2.9
1,followers,3,assertive,3.3,0,3.3
1,followers,3,attractive,3.5,0,3.5
1,followers,3,centerattn,4,0,4
1,followers,3,cold,2.2,0,2.2
1,followers,3,cold_r,3.8,0,3.8
1,followers,3,con,3.3,0,3.3
1,followers,3,ext,4.05,0,4.05
1,followers,3,fewartint,2.9,0,2.9
1,followers,3,fewartint_r,3.1,0,3.1
1,followers,3,funny,3.5,0,3.5
1,followers,3,ilike,3,0,3
1,followers,3,impulsive,3.2,0,3.2
1,followers,3,intelligent,3.3,0,3.3
1,followers,3,lazy,2.5,0,2.5
1,followers,3,lazy_r,3.5,0,3.5
1,followers,3,nervous,2.5,0,2.5
1,followers,3,neu,2.5,0,2.5
1,followers,3,ope,3.1,0,3.1
1,followers,3,outgoing,4.3,0,4.3
1,followers,3,relaxed,3.5,0,3.5
1,followers,3,relaxed_r,2.5,0,2.5
1,followers,3,reserved,2.5,0,2.5
1,followers,3,reserved_r,3.5,0,3.5
1,followers,3,selfesteem,4,0,4
1,followers,3,ses,5.2,0,5.2
1,followers,3,thorough,3.1,0,3.1
1,followers,3,trusting,3.5,0,3.5
1,followers,3,trustworthy,3.3,0,3.3
1,followers,4,actimag,3.5,0,3.5
1,followers,4,age,33.2,0,33.2
1,followers,4,agr,2.95,0,2.95
1,followers,4,arrogant,2.3,0,2.3
1,followers,4,assertive,3.4,0,3.4
1,followers,4,attractive,3,0,3
1,followers,4,centerattn,2.5,0,2.5
1,followers,4,cold,2.6,0,2.6
1,followers,4,cold_r,3.4,0,3.4
1,followers,4,con,3.6,0,3.6
1,followers,4,ext,3.45,0,3.45
1,followers,4,fewartint,2.9,0,2.9
1,followers,4,fewartint_r,3.1,0,3.1
1,followers,4,funny,2.7,0,2.7
1,followers,4,ilike,3.1,0,3.1
1,followers,4,impulsive,2.7,0,2.7
1,followers,4,intelligent,3.6,0,3.6
1,followers,4,lazy,2.3,0,2.3
1,followers,4,lazy_r,3.7,0,3.7
1,followers,4,nervous,2.7,0,2.7
1,followers,4,neu,2.65,0,2.65
1,followers,4,ope,3.3,0,3.3
1,followers,4,outgoing,3.5,0,3.5
1,followers,4,relaxed,3.4,0,3.4
1,followers,4,relaxed_r,2.6,0,2.6
1,followers,4,reserved,3.4,0,3.4
1,followers,4,reserved_r,2.6,0,2.6
1,followers,4,selfesteem,3.2,0,3.2
1,followers,4,ses,6.4,0,6.4
1,followers,4,thorough,3.5,0,3.5
1,followers,4,trusting,3.3,0,3.3
1,followers,4,trustworthy,3.3,0,3.3
1,followers,5,actimag,3.4,0,3.4
1,followers,5,age,23.2,0,23.2
1,followers,5,agr,3.45,0,3.45
1,followers,5,arrogant,3.1,0,3.1
1,followers,5,assertive,2.8,0,2.8
1,followers,5,attractive,3.1,0,3.1
1,followers,5,centerattn,3.2,0,3.2
1,followers,5,cold,2.3,0,2.3
1,followers,5,cold_r,3.7,0,3.7
1,followers,5,con,3,0,3
1,followers,5,ext,3.65,0,3.65
1,followers,5,fewartint,3.4,0,3.4
1,followers,5,fewartint_r,2.6,0,2.6
1,followers,5,funny,3.6,0,3.6
1,followers,5,ilike,3.1,0,3.1
1,followers,5,impulsive,3,0,3
1,followers,5,intelligent,3,0,3
1,followers,5,lazy,2.8,0,2.8
1,followers,5,lazy_r,3.2,0,3.2
1,followers,5,nervous,3,0,3
1,followers,5,neu,3.05,0,3.05
1,followers,5,ope,3,0,3
1,followers,5,outgoing,3.6,0,3.6
1,followers,5,relaxed,2.9,0,2.9
1,followers,5,relaxed_r,3.1,0,3.1
1,followers,5,reserved,2.5,0,2.5
1,followers,5,reserved_r,3.5,0,3.5
1,followers,5,selfesteem,2.8,0,2.8
1,followers,5,ses,5.1,0,5.1
1,followers,5,thorough,2.8,0,2.8
1,followers,5,trusting,3.4,0,3.4
1,followers,5,trustworthy,3.1,0,3.1
1,followers,6,actimag,4.1,0,4.1
1,followers,6,age,30.3,0,30.3
1,followers,6,agr,3.15,0,3.15
1,followers,6,arrogant,2.1,0,2.1
1,followers,6,assertive,2.6,0,2.6
1,followers,6,attractive,2.7,0,2.7
1,followers,6,centerattn,2.7,0,2.7
1,followers,6,cold,2.6,0,2.6
1,followers,6,cold_r,3.4,0,3.4
1,followers,6,con,3.1,0,3.1
1,followers,6,ext,3.35,0,3.35
1,followers,6,fewartint,2.6,0,2.6
1,followers,6,fewartint_r,3.4,0,3.4
1,followers,6,funny,3.2,0,3.2
1,followers,6,ilike,3.6,0,3.6
1,followers,6,impulsive,2.8,0,2.8
1,followers,6,intelligent,3.6,0,3.6
1,followers,6,lazy,3.2,0,3.2
1,followers,6,lazy_r,2.8,0,2.8
1,followers,6,nervous,3.7,0,3.7
1,followers,6,neu,3.3,0,3.3
1,followers,6,ope,3.75,0,3.75
1,followers,6,outgoing,3.3,0,3.3
1,followers,6,relaxed,3.1,0,3.1
1,followers,6,relaxed_r,2.9,0,2.9
1,followers,6,reserved,3.2,0,3.2
1,followers,6,reserved_r,2.8,0,2.8
1,followers,6,selfesteem,2.7,0,2.7
1,followers,6,ses,5.1,0,5.1
1,followers,6,thorough,3.4,0,3.4
1,followers,6,trusting,3.5,0,3.5
1,followers,6,trustworthy,3.9,0,3.9
1,followers,7,actimag,3,0,3
1,followers,7,age,23.125,0,23.125
1,followers,7,agr,3.375,0,3.375
1,followers,7,arrogant,2.875,0,2.875
1,followers,7,assertive,3.25,0,3.25
1,followers,7,attractive,3.5,0,3.5
1,followers,7,centerattn,3.25,0,3.25
1,followers,7,cold,2.5,0,2.5
1,followers,7,cold_r,3.5,0,3.5
1,followers,7,con,3.3125,0,3.3125
1,followers,7,fewartint,2.25,0,2.25
1,followers,7,fewartint_r,3.75,0,3.75
1,followers,7,funny,3.5,0,3.5
1,followers,7,ilike,3.125,0,3.125
1,followers,7,impulsive,2.75,0,2.75
1,followers,7,intelligent,3.625,0,3.625
1,followers,7,lazy,2.5,0,2.5
1,followers,7,lazy_r,3.5,0,3.5
1,followers,7,nervous,2.375,0,2.375
1,followers,7,neu,2.5,0,2.5
1,followers,7,ope,3.375,0,3.375
1,followers,7,relaxed,3.375,0,3.375
1,followers,7,relaxed_r,2.625,0,2.625
1,followers,7,reserved,2.75,0,2.75
1,followers,7,reserved_r,3.25,0,3.25
1,followers,7,selfesteem,3.375,0,3.375
1,followers,7,ses,5.5,0,5.5
1,followers,7,thorough,3.125,0,3.125
1,followers,7,trusting,3.5,0,3.5
1,followers,7,trustworthy,3.375,0,3.375
1,followers,8,actimag,2.9,0,2.9
1,followers,8,age,21.5,0,21.5
1,followers,8,agr,3.6,0,3.6
1,followers,8,arrogant,3.6,0,3.6
1,followers,8,assertive,3.6,0,3.6
1,followers,8,attractive,4,0,4
1,followers,8,centerattn,3.7,0,3.7
1,followers,8,cold,2.6,0,2.6
1,followers,8,cold_r,3.4,0,3.4
1,followers,8,con,3.35,0,3.35
1,followers,8,ext,3.6,0,3.6
1,followers,8,fewartint,3.2,0,3.2
1,followers,8,fewartint_r,2.8,0,2.8
1,followers,8,funny,3.5,0,3.5
1,followers,8,ilike,3.2,0,3.2
1,followers,8,impulsive,3.1,0,3.1
1,followers,8,intelligent,3.3,0,3.3
1,followers,8,lazy,2.6,0,2.6
1,followers,8,lazy_r,3.4,0,3.4
1,followers,8,nervous,2.1,0,2.1
1,followers,8,neu,2.3,0,2.3
1,followers,8,ope,2.85,0,2.85
1,followers,8,outgoing,3.8,0,3.8
1,followers,8,relaxed,3.5,0,3.5
1,followers,8,relaxed_r,2.5,0,2.5
1,followers,8,reserved,2,0,2
1,followers,8,reserved_r,4,0,4
1,followers,8,selfesteem,3.9,0,3.9
1,followers,8,ses,6.5,0,6.5
1,followers,8,thorough,3.3,0,3.3
1,followers,8,trusting,3.2,0,3.2
1,followers,8,trustworthy,3.2,0,3.2
1,followers,9,actimag,2.6666666666666665,0,2.6666666666666665
1,followers,9,age,31.333333333333332,0,31.333333333333332
1,followers,9,agr,3.0555555555555554,0,3.0555555555555554
1,followers,9,arrogant,2.3333333333333335,0,2.3333333333333335
1,followers,9,assertive,3,0,3
1,followers,9,attractive,2.888888888888889,0,2.888888888888889
1,followers,9,centerattn,2.888888888888889,0,2.888888888888889
1,followers,9,cold,2.6666666666666665,0,2.6666666666666665
1,followers,9,cold_r,3.3333333333333335,0,3.3333333333333335
1,followers,9,con,3.388888888888889,0,3.388888888888889
1,followers,9,ext,3.0555555555555554,0,3.0555555555555554
1,followers,9,fewartint,3,0,3
1,followers,9,fewartint_r,3,0,3
1,followers,9,funny,2.7777777777777777,0,2.7777777777777777
1,followers,9,ilike,3.111111111111111,0,3.111111111111111
1,followers,9,impulsive,2.5555555555555554,0,2.5555555555555554
1,followers,9,intelligent,3.5555555555555554,0,3.5555555555555554
1,followers,9,lazy,2.888888888888889,0,2.888888888888889
1,followers,9,lazy_r,3.111111111111111,0,3.111111111111111
1,followers,9,nervous,2.4444444444444446,0,2.4444444444444446
1,followers,9,neu,2.6666666666666665,0,2.6666666666666665
1,followers,9,ope,2.8333333333333335,0,2.8333333333333335
1,followers,9,outgoing,2.7777777777777777,0,2.7777777777777777
1,followers,9,relaxed,3.111111111111111,0,3.111111111111111
1,followers,9,relaxed_r,2.888888888888889,0,2.888888888888889
1,followers,9,reserved,3.111111111111111,0,3.111111111111111
1,followers,9,reserved_r,2.888888888888889,0,2.888888888888889
1,followers,9,selfesteem,2.888888888888889,0,2.888888888888889
1,followers,9,ses,6,0,6
1,followers,9,thorough,3.6666666666666665,0,3.6666666666666665
1,followers,9,trusting,3.2222222222222223,0,3.2222222222222223
1,followers,9,trustworthy,3.3333333333333335,0,3.3333333333333335
1,followers,10,actimag,2.8,0,2.8
1,followers,10,age,33.6,0,33.6
1,followers,10,agr,3.25,0,3.25
1,followers,10,arrogant,2.5,0,2.5
1,followers,10,assertive,3.1,0,3.1
1,followers,10,attractive,3.1,0,3.1
1,followers,10,centerattn,3,0,3
1,followers,10,cold,2.4,0,2.4
1,followers,10,cold_r,3.6,0,3.6
1,followers,10,con,3.3,0,3.3
1,followers,10,ext,3.6,0,3.6
1,followers,10,fewartint,2.9,0,2.9
1,followers,10,fewartint_r,3.1,0,3.1
1,followers,10,funny,3.3,0,3.3
1,followers,10,ilike,3.1,0,3.1
1,followers,10,impulsive,2.9,0,2.9
1,followers,10,intelligent,3.3,0,3.3
1,followers,10,lazy,2.6,0,2.6
1,followers,10,lazy_r,3.4,0,3.4
1,followers,10,nervous,2.6,0,2.6
1,followers,10,neu,2.6,0,2.6
1,followers,10,ope,2.95,0,2.95
