"","actimag_followers","actimag_friends","actimag_profile","adviceGoodImpression_profile","age_followers","age_friends","age_profile","agr_followers","agr_friends","agr_profile","arrogant_followers","arrogant_friends","arrogant_profile","askNotes_profile","assertive_followers","assertive_friends","assertive_profile","attractive_followers","attractive_friends","attractive_profile","buySomethingOnline_profile","casualSocial_profile","centerattn_followers","centerattn_friends","centerattn_profile","cold_followers","cold_friends","cold_profile","cold_r_followers","cold_r_friends","cold_r_profile","con_followers","con_friends","con_profile","converseIntellStim_profile","ext_followers","ext_friends","ext_profile","fewartint_followers","fewartint_friends","fewartint_profile","fewartint_r_followers","fewartint_r_friends","fewartint_r_profile","followSM_profile","friendshipOnline_profile","friendsOffline_profile","funny_followers","funny_friends","funny_profile","groupProject_profile","helpConflict_profile","helpIntellChallenge_profile","hire_profile","ilike_followers","ilike_friends","ilike_profile","impulsive_followers","impulsive_friends","impulsive_profile","intelligent_followers","intelligent_friends","intelligent_profile","interestNewsOnline_profile","introduceFriend_profile","lazy_followers","lazy_friends","lazy_profile","lazy_r_followers","lazy_r_friends","lazy_r_profile","movieTVrec_profile","musicRec_profile","nervous_followers","nervous_friends","nervous_profile","neu_followers","neu_friends","neu_profile","ope_followers","ope_friends","ope_profile","outgoing_followers","outgoing_friends","outgoing_profile","paperFeedback_profile","race_followers","race_friends","race_profile","relaxed_followers","relaxed_friends","relaxed_profile","relaxed_r_followers","relaxed_r_friends","relaxed_r_profile","reserved_followers","reserved_friends","reserved_profile","reserved_r_followers","reserved_r_friends","reserved_r_profile","romanticPartner_friend_profile","romanticPartner_self_profile","selfesteem_followers","selfesteem_friends","selfesteem_profile","ses_followers","ses_friends","ses_profile","sex_followers","sex_friends","sex_profile","thorough_followers","thorough_friends","thorough_profile","triviaPartner_profile","trustDeadlines_profile","trustInfoOnline_profile","trusting_followers","trusting_friends","trusting_profile","trustOrganize_profile","trustworthy_followers","trustworthy_friends","trustworthy_profile","valueOpinion_profile","workStressfulTask_profile","workTaskConflict_profile"
"actimag_followers",1,0.429376858654447,0.144166985961207,-0.00747064126411717,-0.140977702584043,-0.0300935772858431,-0.0018438736542951,-0.242576956005626,-0.275362653451085,-0.0471626038160529,-0.231804173877504,-0.26678856293034,-0.145292277116972,-0.0105190360930218,-0.292174394046215,-0.350312370394731,-0.269910703337705,-0.148640233584202,0.0329685464839105,-0.0547751167411299,0.0916163200002013,-0.0749160901099972,-0.0994203839198298,-0.268139769539292,-0.135406530623028,0.213954795302614,0.040841919663813,-0.0018482918810024,-0.213954795302614,-0.040841919663813,0.00184829188100242,-0.0969407449365443,0.129157597185276,-0.00273120802319873,0.210045100871629,-0.251462096242058,-0.246356472957122,-0.142248043627864,-0.369669560520702,-0.306609951283574,-0.147501852473251,0.369669560520702,0.306609951283574,0.147501852473251,-0.0526928712152912,-0.0153000197734853,-0.157432266889885,0.0630738916391718,-0.223239785484479,-0.0627189346321975,0.0158005007798407,0.132693995966166,0.0187514899325659,-0.0797176220691352,0.0176977923609884,0.157344757296057,0.0269733984619174,-0.0273905705276484,-0.201131857208549,-0.108863798636519,0.223592184677985,0.217030737239628,0.0475855397180318,-0.0473452329344611,-0.178556724970328,0.174425236260571,-0.0776733282327497,0.0262356399687832,-0.174425236260571,0.0776733282327497,-0.0262356399687832,-0.0870193733773227,-0.0282073090225408,0.408511653428777,0.297446419068898,0.168928055098466,0.35737863446215,0.249065714030675,0.116328591406684,0.840211607946041,0.401066806829606,0.160764469182263,-0.227441172165567,-0.344340576466591,-0.257418506252395,0.00482442136779477,0.167483517183768,0.153585271865891,0.198733707291784,-0.147580735195866,-0.0835022286847755,-0.0324018636273913,0.147580735195866,0.0835022286847755,0.0324018636273913,0.241517540226587,0.301338987024832,0.128444797786353,-0.241517540226587,-0.301338987024832,-0.128444797786353,-0.055049988849998,-0.111202934546837,-0.265957494054062,-0.275249483758551,-0.189626908958396,-0.178325182802024,0.0415917016691323,-0.000882148397753922,0.0689992892204765,-0.0205758847454528,-0.0993113850886702,0.00558620516961444,0.163337124075242,0.0196045573967159,0.0299558281791471,0.151807854159103,0.139501409167295,-0.0374609729595791,-0.0641556756272424,0.0878758588862029,0.172867203436311,0.0270666147521949,0.122064799471781,0.0163090591206967,-0.0609921010887632,0.0384364712071001,0.0642815108610813
"actimag_friends",0.429376858654447,1,0.165112301565223,-0.0509106531762415,0.0567975554499384,0.0389299955321629,0.146070236561627,-0.191376987627297,-0.102888189427153,-0.0463001515162218,-0.341743769907949,-0.401010425924507,-0.197331809713135,0.0909509208037239,-0.291651891283449,-0.400873376942916,-0.051129575448532,-0.338779360723846,-0.0112366607155333,0.0245269715029396,-0.0316632786434386,-0.113035273422161,-0.265923178998788,-0.334726093280531,-0.189778530956723,-0.0269231412050148,0.0445452872260107,0.060503689170482,0.0269231412050148,-0.0445452872260107,-0.060503689170482,0.0969518714580932,0.138095364563364,0.237842336715398,0.245928799857424,-0.186491848132229,-0.185323451460886,-0.161250411214293,-0.238831313144097,-0.650154076739392,-0.19944711732866,0.238831313144097,0.650154076739392,0.19944711732866,-0.180899569156136,-0.108701570413898,-0.188443119735476,-0.137888252818959,0.0323306087569495,0.066709439674965,0.00565001017485897,0.136597482572522,0.212785279188993,0.00154067712023292,0.073952686299479,0.3999270757641,0.215856025508195,-0.170131564827391,-0.231121889388666,-0.235993758109548,0.159778074712642,0.353367436582427,0.251871824264411,0.0316604711647064,-0.218315989274,-0.0406603165741029,-0.124987633063914,-0.199134935387844,0.0406603165741029,0.124987633063914,0.199134935387844,-0.0320893093133366,-0.120021583834989,0.271157709750176,0.345245257762153,0.101792477523497,0.186106893725434,0.221379365637868,0.0488565656165543,0.407515885027978,0.896850727123762,0.200715908278976,-0.299270470514744,-0.260034168402415,-0.219922293916734,0.0838773368127257,0.206283423810993,0.208585727987068,0.130644968610109,0.00408087925481706,0.0272209286419303,0.0119545850825175,-0.00408087925481706,-0.0272209286419303,-0.0119545850825175,0.229918801659588,0.286401513331564,0.157480727048913,-0.229918801659588,-0.286401513331564,-0.157480727048913,-0.280218999245114,-0.154621548745717,-0.335297651128468,-0.290396362372636,-0.109741652419469,0.00128564818226252,0.0381184081967164,0.173542629328488,-0.00637368361945138,0.148017763186071,0.211075551857937,0.134232112679316,0.132489803374978,0.248074347710035,0.0864164734679995,0.264154547278005,0.182867586290924,0.039564912444361,0.229979321117867,0.114353301285372,0.2106853514944,0.16086469532179,0.319379111119451,0.187648282306118,0.0288684888082864,0.0754075200285381,0.0740460594633459
"actimag_profile",0.144166985961207,0.165112301565223,1,0.023302720990192,0.176770838037671,0.15195174826001,0.075387210385765,-0.279744674711746,-0.200856854779678,0.181773988334806,-0.204718051071434,-0.177759770872797,-0.260752112061063,-0.0958024490698484,-0.061924350718482,-0.0327823191100926,0.0236991961932069,-0.135374827644545,-0.145488696932327,0.137539978260239,0.134582538636254,-0.00547885073652767,-0.191059976521164,-0.231649542579828,-0.0838155603823918,0.176444129119298,0.139628120370848,-0.169899062965387,-0.176444129119298,-0.139628120370848,0.169899062965387,0.146439051278666,0.0234166124231534,0.176620879314752,0.101248874199216,-0.292677954115722,-0.188795828088856,0.129737398631953,-0.050636558494044,-0.107801482329617,-0.64519887763352,0.050636558494044,0.107801482329617,0.64519887763352,-0.020502220591707,-0.000722847218869142,-0.0157843820892105,-0.157115488205437,-0.151650229418009,0.368922818323478,-0.0814220996288008,-0.0203827489316271,0.254357133098962,0.0801048712210143,0.0160904845999416,0.0474583033290566,0.274251742808884,-0.102896493401587,-0.0493870380689839,-0.0875898195122438,0.266628319202576,-0.0151008709412476,0.307888938819027,-0.0215352252001456,-0.0930266348201102,-0.0937864155741091,0.0296999673816937,-0.153829865340087,0.0937864155741091,-0.0296999673816937,0.153829865340087,0.0253227914849921,0.0797017453872291,0.0863567070955221,0.00346213739607332,-0.114660246706186,0.125875107020606,0.029311775569,-0.220790857888497,0.119579809780633,0.14834483721231,0.909601100395161,-0.31329092390681,-0.190233557211054,0.0438099397611736,-0.131249299730889,0.222948261977434,0.178825674037708,0.153326873153883,-0.121190221583093,-0.0503087496067893,0.237057209196245,0.121190221583093,0.0503087496067893,-0.237057209196245,0.220129402695039,0.121736467482138,-0.0864882938133381,-0.220129402695039,-0.121736467482138,0.0864882938133381,0.029539639210974,-0.0398035582129266,-0.146995729436045,-0.249405756303509,0.134308575324638,0.03393907538855,-0.0463910388235058,0.107940501883715,-0.168353323853481,-0.252405666293554,-0.00490743803679105,0.168916374400086,0.0736161261818632,0.178637943401237,0.0186844601996063,-0.00927908620455183,0.0779095153846661,-0.145698289657841,-0.190084836454057,0.100426444354557,0.0337810088660077,0.119836397916499,-0.0108140582159398,0.197810750148189,-0.0944482836147856,-0.0683076982268037,-0.30851290079496
"adviceGoodImpression_profile",-0.00747064126411717,-0.0509106531762415,0.023302720990192,1,0.280571139663144,0.270393396530589,0.282316762377082,-0.20214753084828,-0.182835660448194,0.145125410954825,-0.164000323738071,-0.0439565471526801,-0.164585731192836,0.103646606082947,-0.134791427237079,-0.0200314773527169,-0.0394672577744475,-0.144514876071817,-0.20217251201266,0.109091131078974,0.224778270311224,-0.0686185564264311,-0.106570031999098,-0.190542305988981,-0.140168345707887,0.162976303090281,0.250337986101856,-0.157875581726173,-0.162976303090281,-0.250337986101856,0.157875581726173,0.159694427272321,0.217969921203876,0.291591202634847,-0.0887887559224489,-0.230902252911903,-0.268626135201828,0.154908518302569,0.153713254332965,-0.0274178701770699,-0.136138285590822,-0.153713254332965,0.0274178701770699,0.136138285590822,-0.186100383885236,-0.101170589411068,-0.0702293504114253,-0.195254765723307,-0.283879114869654,-0.17695393333167,0.192009138521043,0.229354526890877,0.0772341841544197,0.246913660844379,0.0348467815377765,-0.0726956500069482,0.139168319670229,-0.0446099438446059,-0.133358920548785,-0.258940550568601,0.142020018428133,0.111244746204856,0.161523827249917,-0.193307792511534,-0.291032296909789,-0.112137877284665,-0.135123524999384,-0.308543410860839,0.112137877284665,0.135123524999384,0.308543410860839,-0.306330196111408,-0.271669854151025,0.259871028219021,0.118890130903199,-0.0204124689945931,0.238262627115272,0.111169497674192,-0.163964359284017,-0.0943720966904661,-0.0104277686713936,0.0870540274999302,-0.229797542924864,-0.222722003873176,0.100650695400185,-0.126650676400372,-0.0261431543404482,-0.0144296551870685,-0.0488753049961812,-0.110299881464437,-0.0597910659088774,0.232720554455453,0.110299881464437,0.0597910659088774,-0.232720554455453,0.217173324186042,0.15493823322052,0.0921359903051144,-0.217173324186042,-0.15493823322052,-0.0921359903051144,-0.0671835029215076,-0.0967199852206166,-0.0795038306624062,-0.167523866631579,0.184133507694257,0.0673872557854236,0.11624593265932,0.25330869768106,0.0298100803892304,0.000497386160347262,0.169492168568317,0.173899450347289,0.27159202752991,0.243750923568596,-0.256370839507555,0.127804272771511,0.0492187837728523,-0.00329322425382787,-0.1085600957599,0.250730345905202,0.204345495659349,0.0214328642705645,0.0459624319176352,0.266379225526567,-0.0516269245453071,0.0555760727094874,0.101568291725503
"age_followers",-0.140977702584043,0.0567975554499384,0.176770838037671,0.280571139663144,1,0.760829174301548,0.695133770359915,-0.235980254614818,-0.197975865331913,-0.0585559211263789,-0.400171341990293,-0.300120191115992,-0.365020428294717,0.388647732717743,-0.0179105175991341,-0.00692924206151336,0.120090048376303,-0.312758898658532,-0.281964941421986,-0.11859647174724,0.122885533134106,-0.334214590458991,-0.503907239583873,-0.449311750432368,-0.407748708555132,-0.0517025599345954,0.0848372403852844,-0.179242780617323,0.0517025599345954,-0.0848372403852844,0.179242780617323,0.666549470237371,0.487007067544328,0.586448513945175,0.120110033975837,-0.142448305890208,-0.231027494012952,0.0355841744722649,0.0357425162191744,-0.0565944254465627,-0.151671911242551,-0.0357425162191744,0.0565944254465627,0.151671911242551,-0.272319536404698,-0.279917469448413,-0.300457859948934,-0.337793616974268,-0.249177389361487,-0.137547625761492,0.281292339211799,0.19121127866374,0.498894253091335,0.326480350498009,0.362440064455308,0.242794645919425,0.230377053555369,-0.518122150495001,-0.470406424942983,-0.554975976011622,0.602109139255923,0.479150204387877,0.509267586025397,-0.139353981885962,-0.291366915486897,-0.539457394862766,-0.355595749179046,-0.516847185415867,0.539457394862766,0.355595749179046,0.516847185415867,-0.446354193911973,-0.467462588151741,0.0109125358511041,0.0834351088918213,-0.191929671171989,-0.172740707918489,-0.0696192987937862,-0.359951117978848,-0.108896042380083,0.0623885980253193,0.181249033581109,-0.251025657357339,-0.295712763669831,-0.132693336431141,0.247857522771806,0.195042589760863,0.156939482405224,0.14441673166798,0.344326359271627,0.239202877017135,0.384057980014482,-0.344326359271627,-0.239202877017135,-0.384057980014482,0.398518704897531,0.27047003940994,0.377136127464453,-0.398518704897531,-0.27047003940994,-0.377136127464453,-0.308334999020478,-0.333447924475831,-0.0221843008213482,-0.117069629846923,0.0936202097885786,0.52392104233115,0.406793201364422,0.425138003530393,-0.0566767277305886,-0.185110659444593,0.051207115819704,0.651214907458232,0.552852780026957,0.58745172805376,-0.0612610029313297,0.404507908234297,0.268858161354185,0.250668742493601,0.0325083080613931,0.323742576676655,0.458752922928956,0.573440572389786,0.340127630633777,0.452542171195774,0.0219414862154061,0.299003687912674,0.059111894878353
"age_friends",-0.0300935772858431,0.0389299955321629,0.15195174826001,0.270393396530589,0.760829174301548,1,0.773738506445554,-0.438451038175741,-0.309350981120624,-0.0373462929074356,-0.401930625651661,-0.41483054070863,-0.422700297999473,0.35460368163346,-0.106464394762575,0.0532023821629981,0.102895913580398,-0.347821968770791,-0.349885762253418,-0.137382473451326,0.072452737680269,-0.287067097226557,-0.54874454073332,-0.587246688476915,-0.512267860749904,0.0793331720055295,0.0630924313013832,-0.185700872230542,-0.0793331720055295,-0.0630924313013832,0.185700872230542,0.545314439894658,0.72700652561214,0.63756047359037,0.256271296007106,-0.271799669346561,-0.257076384699394,0.0204420482141761,0.0365625107400014,-0.0172064883537224,-0.171305472093315,-0.0365625107400014,0.0172064883537224,0.171305472093315,-0.265854329266473,-0.26919773907965,-0.259927235011435,-0.24650194082357,-0.286913812253498,-0.0471234426035966,0.244733220559572,0.235465587608786,0.560999679206806,0.283244830451104,0.370356685792069,0.277483464176432,0.277938367750967,-0.499382803984316,-0.652120721151531,-0.577833089194481,0.597902327982989,0.654972401051342,0.587630895979188,-0.0579952680084224,-0.260931370210171,-0.358594706070604,-0.574187964506829,-0.553050687998578,0.358594706070604,0.574187964506829,0.553050687998578,-0.452581378707844,-0.502694727603807,0.168157236056613,0.0718052074950957,-0.184447588497647,-0.0405717920761912,-0.0864049059838732,-0.400632995092347,-0.0401304629317314,0.0301964939372651,0.178058833054772,-0.352704137577516,-0.354602684551971,-0.166210863178647,0.155639809254352,0.324181468132689,0.236218331675744,0.288298402217374,0.297895003182066,0.255189201231921,0.454659501871798,-0.297895003182066,-0.255189201231921,-0.454659501871798,0.543014721602239,0.448392622828724,0.361871250680711,-0.543014721602239,-0.448392622828724,-0.361871250680711,-0.343538470882886,-0.378786836197285,-0.155254588043015,-0.160963054027702,0.115416504821666,0.415614839123875,0.589701266132929,0.53671176612664,-0.0837913103824031,-0.340803029735001,-0.135258242795769,0.619244675978567,0.781730262391412,0.646941249418969,0.0264772145449962,0.414731598560695,0.188057083029962,0.119190984196508,0.088441095882747,0.334193461580917,0.39328383671186,0.480517853254997,0.503008210623902,0.472496137847503,0.0481202520719562,0.344721430983952,0.0224051729027253
"age_profile",-0.0018438736542951,0.146070236561627,0.075387210385765,0.282316762377082,0.695133770359915,0.773738506445554,1,-0.34470011531787,-0.251485147762534,-0.00726176304281518,-0.386510730399111,-0.358694619602388,-0.425194659561878,0.374915693164804,-0.083008803156496,-0.0302975390786018,0.15376856600832,-0.350467601611972,-0.368463160932785,-0.282879924534399,0.162499688012583,-0.296688329378324,-0.485488757046468,-0.481915116272841,-0.500491572640811,0.0674077082155241,0.0611235805318633,-0.222739331880204,-0.0674077082155241,-0.0611235805318633,0.222739331880204,0.462556858174739,0.555671739095358,0.619351782692615,0.238782318945403,-0.258196471861771,-0.258987424899813,0.0771476083469902,0.0316033610530554,0.0282451734237261,-0.186394711686142,-0.0316033610530554,-0.0282451734237261,0.186394711686142,-0.246556335993085,-0.248308658015741,-0.326763708266488,-0.356160785737209,-0.265393328556512,-0.0304480047499621,0.219765476006356,0.276233010457167,0.445741192233641,0.245338618271299,0.339621289475929,0.176935310807499,0.28573951638717,-0.479818433773182,-0.476669064598631,-0.55471444845333,0.503167999987786,0.509577502548969,0.527855175009552,-0.0645001206422728,-0.305914700781529,-0.312362822031079,-0.408991490344424,-0.519105175930282,0.312362822031079,0.408991490344424,0.519105175930282,-0.499272647604437,-0.518082075015497,0.101287727677959,0.229990059392892,-0.30876473029835,-0.060688088809993,0.0729713403612556,-0.4669956982642,-0.0195951353564523,0.0592722264238766,0.143485511468125,-0.341647982363876,-0.350761162751255,-0.106217537966712,0.202910184572319,0.233474662624452,0.217763841702246,0.23900729306651,0.248655547250055,0.158440121761294,0.450803315175008,-0.248655547250055,-0.158440121761294,-0.450803315175008,0.418184529799596,0.416761224352577,0.295101217380022,-0.418184529799595,-0.416761224352577,-0.295101217380022,-0.306208496141985,-0.354927803157772,-0.154145889683081,-0.208482847588991,0.0510580265099296,0.444240071475339,0.417924598284968,0.528291191459897,0.0622581582177085,-0.224593071741418,-0.177840809765303,0.516709129570215,0.627525677812173,0.645481530755356,0.0618748507332259,0.441557412787232,0.244663656442964,0.0783970739278591,0.148230141094869,0.297985154197718,0.420841262209773,0.436148899337156,0.468310405120357,0.455535836407501,-0.00760039988516602,0.229607850889306,0.100357288551363
"agr_followers",-0.242576956005626,-0.191376987627297,-0.279744674711746,-0.20214753084828,-0.235980254614818,-0.438451038175741,-0.34470011531787,1,0.558138929616805,0.0923324421180548,0.369617966374903,0.403934224268851,0.443595304823762,-0.090952112559368,0.386528279569208,0.17682288729535,0.0730363424250703,0.499364550908479,0.321170702177913,0.0484857148333499,-0.106053069994945,0.196777610408974,0.572570433647784,0.593857899473587,0.43704148208656,-0.576709257499902,-0.283753886262829,0.0728712742755442,0.576709257499902,0.283753886262829,-0.0728712742755442,-0.133944757765931,-0.341051687898048,-0.37776800089258,-0.125225462477991,0.759896446457675,0.500474798222585,0.0804136287343579,0.0946770986940747,0.188514094912559,0.473259145937983,-0.0946770986940747,-0.188514094912559,-0.473259145937984,0.190886268818135,0.154004413013288,0.221361686114185,0.434820891101296,0.304677949117536,0.125988751616982,-0.100908098978544,-0.108028915578755,-0.277105874346243,-0.221136773970185,0.0242033827747805,-0.186020037130505,-0.260956312037331,0.347919589451629,0.394386980305785,0.426057451750659,-0.41160083949257,-0.379075604497491,-0.388165029947413,-0.0359186322052763,0.234287101010414,-0.0781020921979169,0.225853228319626,0.359311921972847,0.0781020921979169,-0.225853228319626,-0.359311921972847,0.374248756287791,0.333989168248549,-0.548507989495619,-0.318027693900369,-0.127313586851555,-0.484917036358393,-0.306158855164893,0.0781209146433425,-0.206736175840911,-0.208947543179911,-0.413667808708348,0.732414587089487,0.559786975494107,0.222157376376368,-0.0105821118767429,-0.27245118663028,-0.197559981678311,-0.395849664605981,0.204200017780196,0.168767343129743,-0.227933031994946,-0.204200017780196,-0.168767343129743,0.227933031994946,-0.853464734076144,-0.555279114115142,-0.290569982424409,0.853464734076144,0.555279114115142,0.290569982424409,0.157722937243111,0.123278409179811,0.643837515000783,0.478066839576736,0.177020726017177,0.0101915364841072,-0.203300669795076,-0.308554500433493,0.16984584598871,0.191407907105963,-0.0679803701445202,-0.325782551225566,-0.410451072615461,-0.353683150680059,-0.0984373285297481,-0.320010346724065,-0.0859020110620002,0.40397505378458,0.211147267918152,-0.202785122337872,-0.409164896781677,-0.204710285890741,-0.215298753353068,-0.316937209865608,0.0513468945948246,-0.221697047482271,-0.056777304654596
"agr_friends",-0.275362653451085,-0.102888189427153,-0.200856854779678,-0.182835660448194,-0.197975865331913,-0.309350981120624,-0.251485147762534,0.558138929616805,1,0.223438246202254,0.244035094889781,0.31535077894877,0.301177790641168,-0.00556014192263702,0.208440230712539,0.34347787908569,0.0310659033975942,0.324301054572671,0.500157202389181,0.179700918151129,-0.135949344117947,0.149897265731388,0.362813102833023,0.667673406323577,0.341034229790245,-0.415893715531629,-0.529815930503807,-0.0867505222397164,0.415893715531629,0.529815930503807,0.0867505222397164,-0.0719693379623884,-0.187298291262341,-0.252871317280647,-0.0714792347506293,0.538497243371541,0.746341876315022,0.194758858067752,0.176141488378207,-0.105357005145066,0.269247000373727,-0.176141488378207,0.105357005145066,-0.269247000373727,0.0582845919395441,0.295374569138514,0.211637337965892,0.27176751724497,0.568784920034161,0.0900493781667397,-0.16109062163371,-0.103797413768999,-0.27185590907216,-0.139156842900689,-0.022985935620079,-0.0619611363996038,-0.12966464166817,0.277796330779941,0.506787841446114,0.354878955714498,-0.357266693636557,-0.290473793366339,-0.24949702078345,-0.0616237268349872,0.263271512767921,-0.0664603920010803,0.0162295865811202,0.255004340034809,0.0664603920010803,-0.0162295865811202,-0.255004340034809,0.34693021767436,0.263125164043926,-0.373953090314947,-0.577114955210845,-0.128639359583997,-0.363648675937503,-0.591873424028975,-0.0405629700728237,-0.27475248127627,0.00800335196496897,-0.258645768469008,0.503672908532588,0.764959464087913,0.251044510644606,-0.0750953593916724,-0.245585665539227,-0.188667582549449,-0.202206662355604,0.196698471885124,0.372106700669948,-0.0464534040786761,-0.196698471885124,-0.372106700669948,0.0464534040786761,-0.481156776349856,-0.838884814969261,-0.233873456492443,0.481156776349856,0.838884814969261,0.233873456492443,0.146279025446484,0.112260705773356,0.406644931523404,0.636784243786948,0.241091696072152,-0.0232237414542126,-0.0529717082885687,-0.0882080673281441,0.06687535640682,0.275772775557254,0.0541527019791304,-0.200645430809931,-0.333757634954572,-0.223166892003362,-0.136276876635815,-0.316583620459018,-0.299273073037344,0.217040244674796,0.606225688238989,-0.000207062871356306,-0.221553855500659,-0.0959119667108164,-0.0957485568185531,-0.1768219217555,0.104603060030602,-0.178184467596131,-0.0121109273959958
"agr_profile",-0.0471626038160529,-0.0463001515162218,0.181773988334806,0.145125410954825,-0.0585559211263789,-0.0373462929074356,-0.00726176304281518,0.0923324421180548,0.223438246202254,1,0.137159180930416,-0.066617424005851,-0.0736479437355888,-0.0363968782145228,0.0431068751511313,0.01499264829178,0.180755147810264,0.150348522741658,0.129130437008104,0.431190387044094,0.0353649258962522,0.114489575379116,0.121888560943597,0.11077517151575,0.216532995807361,-0.0116397020359892,-0.176788758562312,-0.530634475456689,0.0116397020359892,0.176788758562312,0.530634475456689,0.085255141485475,0.0069680391947924,0.184316237641124,-0.0844760223320776,0.073032441473551,0.182860244492686,0.737915485053431,0.0562014507289019,-0.0589041676478464,-0.237279753934538,-0.0562014507289019,0.0589041676478464,0.237279753934538,-0.0537634685302976,0.170591252871261,0.161727397913204,0.0783048967201384,0.112260157555613,0.481081107438312,-0.0533119428911304,-0.00122698748802021,-0.215211684213571,0.0924376607681259,0.0190814485336238,-0.0318088055022304,0.314481652454856,0.0764400399898733,0.13522286662436,0.199113613169234,-0.030095114721965,-0.190491902917294,0.0721295810908055,-0.0988415717073718,0.196126884172267,-0.0638969744991475,-0.0809146685014062,-0.254094193895858,0.0638969744991475,0.0809146685014062,0.254094193895858,0.0516890807340384,0.147774625912536,-0.100350576301284,-0.114961139742248,-0.382895389177368,-0.126077836103244,-0.128776408282879,-0.452648735127533,-0.0622508703141717,0.0102924339420207,0.23059928644552,0.10078011450663,0.144394266804194,0.727223945276914,-0.254221493299466,0.0458352935451881,0.12153724534717,0.0499787432517532,0.107597285504688,0.0980293723366568,0.367663994345868,-0.107597285504688,-0.0980293723366568,-0.367663994345868,-0.00902860969853855,-0.129661858357505,-0.561775845259064,0.00902860969853854,0.129661858357505,0.561775845259064,0.202442835913767,-0.0671627999395383,0.20208725271883,0.0359767303601748,0.607866757094818,0.103129860578186,-0.0449712011274825,0.231248426106702,-0.0559098783843117,0.17855029632023,0.15456810067205,0.0886263329670881,-0.0682982842442083,0.0987023414013541,-0.20398152163298,-0.204448230594698,-0.0219747726849856,0.15977332741741,0.219872413824092,0.501262467764404,-0.0892948941556859,0.0231873445061034,-0.0265892348303503,0.237988978092425,0.0925296559945143,-0.0634869762539776,-0.133966373948635
