,,Followers,,Friends,,Profiles,,,,,
study,qlabel,.t,.p,.t,.p,.t,.p,,follower mean,friend mean,profile mean
1,actimag,0.05,0.136,0.096,0.141,0.148,0.185,,0.127529412,0.151294118,0.235911765
1,age,0.476,0.102,0.428,0.093,0.664,0.072,,,,
1,agr,0.102,0.136,0.165,0.135,0.1,0.122,,,,
1,arrogant,0.164,0.162,0.151,0.13,0.262,0.087,,,,
1,assertive,0.091,0.089,0.074,0.095,0.08,0.083,,,,
1,attractive,0.134,0.145,0.104,0.177,0.225,0.181,,,,
1,centerattn,0.231,0.124,0.202,0.088,0.232,0.102,,,,
1,cold,0.039,0.263,0.066,0.133,0.167,0.154,,,,
1,cold_r,0.039,0.263,0.066,0.133,0.167,0.154,,,,
1,con,0.113,0.181,0.21,0.114,0.314,0.1,,,,
1,ext,0.151,0.203,0.13,0.146,0.197,0.117,,,,
1,fewartint,0.01,0.156,0.106,0.179,0.094,0.206,,,,
1,fewartint_r,0.01,0.156,0.106,0.179,0.094,0.206,,,,
1,funny,0.058,0.142,0.043,0.142,0.109,0.16,,,,
1,ilike,0.048,0.212,0.056,0.266,0.219,0.148,,,,
1,impulsive,0.126,0.089,0.156,0.089,0.22,0.126,,,,
1,intelligent,0.125,0.226,0.189,0.142,0.283,0.143,,,,
1,lazy,0.073,0.15,0.148,0.122,0.233,0.109,,,,
1,lazy_r,0.073,0.15,0.148,0.122,0.233,0.109,,,,
1,nervous,0.093,0.097,0.101,0.156,0.094,0.099,,,,
1,neu,0.074,0.156,0.072,0.164,0.139,0.102,,,,
1,ope,0.044,0.137,0.143,0.158,0.177,0.168,,,,
1,outgoing,0.187,0.144,0.156,0.162,0.195,0.103,,,,
1,race,0.637,0.04,0.673,0.019,0.723,0.019,,,,
1,relaxed,0.049,0.164,0.03,0.128,0.166,0.105,,,,
1,relaxed_r,0.049,0.164,0.03,0.128,0.166,0.105,,,,
1,reserved,0.179,0.078,0.201,0.097,0.169,0.099,,,,
1,reserved_r,0.179,0.078,0.201,0.097,0.169,0.099,,,,
1,selfesteem,0.125,0.134,0.103,0.103,0.139,0.071,,,,
1,ses,0.15,0.278,0.204,0.33,0.275,0.244,,,,
1,sex,0.19,0.005,0.214,0,0.836,0.007,,,,
1,thorough,0.115,0.173,0.191,0.081,0.285,0.112,,,,
1,trusting,0.045,0.186,0.107,0.132,0.226,0.083,,,,
1,trustworthy,0.107,0.172,0.074,0.161,0.221,0.102,,,,
,,,,,,,,,,,
,,.t,.p,,,,,,,,
2,adviceGoodImpression,0.273,0.113,,,,,,,,
2,askNotes,0.285,0.107,,,,,,,,
2,buySomethingOnline,0.206,0.266,,,,,,,,
2,casualSocial,0.145,0.191,,,,,,,,
2,converseIntellStim,0.23,0.106,,,,,,,,
2,followSM,0.108,0.154,,,,,,,,
2,friendshipOnline,0.186,0.21,,,,,,,,
2,friendsOffline,0.199,0.19,,,,,,,,
2,groupProject,0.266,0.14,,,,,,,,
2,helpConflict,0.219,0.111,,,,,,,,
2,helpIntellChallenge,0.269,0.136,,,,,,,,
2,hire,0.349,0.088,,,,,,,,
2,interestNewsOnline,0.183,0.153,,,,,,,,
2,introduceFriend,0.172,0.133,,,,,,,,
2,movieTVrec,0.117,0.213,,,,,,,,
2,musicRec,0.079,0.233,,,,,,,,
2,paperFeedback,0.223,0.148,,,,,,,,
2,romanticPartner_friend,0.174,0.2,,,,,,,,
2,romanticPartner_self,0.066,0.343,,,,,,,,
2,triviaPartner,0.143,0.19,,,,,,,,
2,trustDeadlines,0.307,0.112,,,,,,,,
2,trustInfoOnline,0.264,0.151,,,,,,,,
2,trustOrganize,0.365,0.094,,,,,,,,
2,valueOpinion,0.197,0.235,,,,,,,,
2,workStressfulTask,0.278,0.107,,,,,,,,
2,workTaskConflict,0.204,0.146,,,,,,,,
